Times_serviced,Total_service_pay,Average_service_pay,Loyal_or_Disloyal,Loyal,Service_time,Commercial_electronic_messages,Model_year,Number_of_years,Customer_cost,Rate,Number_active_cars,number_historic_cars,odometer_reading,Income,province,Term,Total_monthly_payment,Total_pay,Warranty_pay,Age,Days_since_last_service,Used_or_New,product_category
14,4206.859969,300.4899978,0,Disloyal,17,1,2019,16,0,0,3,1,16227,60000,3,37.5,2030,76125,5671.995007,51,174.3333317,0,0
20,7545.929973,377.2964987,0,Disloyal,1,0,2016,13,500,0.75,1,3,63065,63065,3,72,1506,108432,5664.897176,60,919.7916667,1,0
24,1286.350002,53.59791675,0,Disloyal,1,0,2012,9,0,0,5,2,107989,107989,4,84,695,58380,5655.793521,49,1299.791667,1,0
9,3388.07003,376.4522256,0,Disloyal,1,0,2018,15,0,1.5,1,3,25696,60000,4,36,2045,73620,5652.045106,56,500.8333333,1,0
19,9833.799927,517.5684172,0,Disloyal,2,0,2016,13,3897.18,0.75,1,1,33512,60000,1,39,1787,69693,5647.823978,52,1012.791667,0,1
13,2873.359994,221.0276918,0,Disloyal,12,1,2017,14,0,1.25,1,4,21838,60000,3,39,1005,39195,5644.390356,53,600.7916667,0,0
6,652.0500031,108.6750005,0,Disloyal,1,1,2018,15,83.44,1.5,1,1,117846,117846,3,54,740,39960,5640.925566,57,624.7916667,1,0
7,184,26.28571429,0,Disloyal,1,0,2014,11,4945,1.5,1,3,77681,77681,2,54,1132,61128,5622.119897,35,814.3958334,0,0
13,2739.419983,210.7246141,0,Disloyal,3,0,2013,10,0,0.75,1,4,124990,124990,4,84,1437,120708,5619.925529,42,1299.791667,1,0
31,22952.10976,740.3906374,0,Disloyal,1,0,2016,13,0,0.75,1,2,54573,54573,3,48,823,39504,5614.917169,61,1041.833333,1,0
18,3756.279892,208.6822162,0,Disloyal,1,0,2015,12,5345.76,2,1,1,107223,107223,1,84,665,55860,5613.047754,39,1367.791667,1,0
14,4004.440048,286.031432,0,Disloyal,2.5,0,2017,14,0,0.75,2,9,43289,60000,2,46.5,1041.5,48429.75,5610.590915,48,915.3125002,0,1
13,382.9000015,29.45384627,0,Disloyal,1,0,2017,14,0,0.75,1,4,81677,81677,1,39,1159,45201,5609.856,47,542.7916667,0,0
11,1849.299988,168.1181807,0,Disloyal,7.4,0,2018,15,0,1.75,2,3,125535,125535,1,51,1153.4,58823.4,5604.595449,56,757.0833399,0,0
11,5062.600006,460.2363642,0,Disloyal,31,0,2017,14,0,1,2,1,106674,106674,1,60,705,42300,5598.956884,55,847.3333165,0,1
21,273.239994,13.01142829,0,Disloyal,11,0,2016,13,0,0.75,1,2,59066,59066,2,42,796,33432,5596.752,54,999.7916667,0,1
11,1569.129963,142.6481785,0,Disloyal,1,0,2017,14,0,1.25,1,1,18221,60000,3,45,1450,65250,5585.055103,58,591.7916667,1,1
8,2872.559952,359.069994,0,Disloyal,4,0,2012,9,845.51,0,1,4,68268,68268,4,84,1250,105000,5584.813607,58,2340.833333,0,0
13,596.0300007,45.84846159,0,Disloyal,4,0,2017,14,0,1.25,2,2,38399,60000,4,72,1227,88344,5574.313411,37,1182.333333,0,1
17,16132.27981,948.9576359,0,Disloyal,22,0,2013,10,0,1,1,2,127574,127574,3,84,905,76020,5567.625,54,2182.833333,1,1
14,7750.489944,553.6064246,0,Disloyal,4,1,2013,10,135.34,0,1,1,106202,106202,1,84,482,40488,5564.779541,40,1551.833333,0,1
6,3125.109993,520.8516655,0,Disloyal,2,0,2012,9,0,0.75,1,1,102855,102855,1,84,787,66108,5564.306836,49,1208.833333,1,0
8,1546.600037,193.3250046,1,Loyal,26,1,2017,14,0,0.75,1,1,34699,60000,3,48,500,24000,5564.265056,60,544.7916667,0,1
13,447.109993,34.39307638,1,Loyal,10,0,2016,13,0,0.75,1,2,46588,46588,2,48,744,35712,5562.080989,58,879.8333333,0,1
24,3218.069984,134.0862493,0,Disloyal,1,0,2013,10,0,0,2,3,143041,143041,1,84,746,62664,5558.931226,51,1244.833333,1,1
18,3924.719933,218.0399963,0,Disloyal,2,0,2013,10,0,0.75,2,2,144399,144399,3,60,689,41340,5557.597577,57,1194.833333,1,0
9,646.5,71.83333333,0,Disloyal,1,0,2017,14,567.9,1,1,1,67448,67448,1,46.5,630,29295,5553.344524,69,874.8124999,1,0
22,8022.92009,364.6781859,0,Disloyal,11,1,2016,13,0,0.75,1,1,40625,60000,1,48,909,43632,5552.106226,46,1139.833333,0,1
4,402.9500008,100.7375002,0,Disloyal,1,0,2017,14,0,0.75,1,1,115048,115048,2,60,602,36120,5545.501249,56,637.3333333,1,0
18,3480.399994,193.3555552,0,Disloyal,1.5,1,2017,14,0,0,6,4,80047,80047,1,47.25,809.25,38237.0625,5532.974856,56,829.0729166,0,0
17,3603.50996,211.9711741,0,Disloyal,1,0,2016,13,0,0.75,1,3,196116,196116,1,60,1005,60300,5520.280664,58,1215.833333,0,0
33,12809.95984,388.1806012,0,Disloyal,1.666666667,0,2018,15,0,1.75,1,6,44821,60000,3,60,977,58620,5514.42136,52,575.8194443,1,0
17,2242.759998,131.9270587,0,Disloyal,6,0,2014,11,0,2,1,6,79054,79054,1,60,1029,61740,5512.342647,46,1529.833333,1,0
3,0,0,0,Disloyal,3,0,2016,13,0,0.75,1,1,40867,60000,2,60,782,46920,5505.024,37,798.8333333,0,0
11,549.1400146,49.92181951,0,Disloyal,8,1,2014,11,0,1.25,1,1,15340,60000,2,84,1776,149184,5495.668726,55,1713.791667,0,1
14,3627.199997,259.0857141,0,Disloyal,33,1,2018,15,0,2,1,1,4911,60000,2,48,755,36240,5487.908985,55,253.7916667,0,1
13,1149.01001,88.38538538,0,Disloyal,1,1,2017,14,0,0.75,1,4,72840,72840,2,60,1478,88680,5486.218445,45,1190.3125,0,0
15,1060.919994,70.7279996,0,Disloyal,7,1,2011,8,0,1.25,1,1,123768,123768,1,48,554,26592,5480.464618,47,1409.833333,0,0
13,3070.089947,236.1607652,0,Disloyal,2,0,2017,14,0,1.5,1,2,32766,60000,3,48,874,41952,5475.330103,56,544.7916667,0,1
